10302,20600,23350
10303,166265,45000
10304,,
10305,7649,135
10306,28000,0
10307,,
10401,11880,0
10402,15000,0
10403,8000,7000
10404,7763,0
11101,418652,0
11102,2870,21400
11201,10000,8000
11202,27853,0
11203,250,600
11301,29940,45735
11302,11072,9028
11303,1500,0
11401,49121,0
11402,47641,0
12101,28000,290300
12102,,
12103,,
12104,10647,0
12201,7173,16879080
12301,14585,73369
12302,17283,0
12303,1255,0
12401,94500,70000
12402,7170,0
13101,330216,1578022
13102,73465,712282
13103,500466,446433
13104,388576,72127
13105,432498,48564
13106,662571,168000
13107,439745,1881421
13108,79318,23520
13109,102607,10000
13110,1518203,83738
13111,243414,440453
13112,779145,216300
13113,442931,0
13114,1636790,362000
13115,959924,598328
13116,213581,46785
13117,250717,135403
13118,443579,85595
13119,2661113,680416
13120,583314,262130
13121,136241,429839
13122,1179088,594373
13123,212347,418630
13124,896241,238371
13125,814723,5000
13126,145303,343633
13127,443930,382219
13128,862181,164000
13129,315000,161612
13130,99362,74717
13131,382145,92000
13132,237461,373750
13201,2576707,252712
13202,58082,0
13203,40210,0
13301,638619,242683
13302,752055,0
13303,42722,55649
13401,1372230,202919
13402,,
13403,50854,0
13404,153982,20100
13501,43455,46753
13502,23155,15095
13503,94434,5400
13504,22050,0
13505,16291,0
13601,317721,114700
13602,90000,0
13603,85595,0
13604,290000,24000
13605,230166,301078
14101,112083,322352
14102,4163,332763200
14103,35928,0
14104,,
14105,15400,100000
14106,55000,35000
14107,48783,0
14108,23246,98050
14201,225706,20000
14202,24799,0
14203,19448,38139
14204,28000,0
15101,358253,153181
15102,1000,0
15201,12401,0
15202,2500,0
16101,645000,71000
16102,85380,0
16103,108911,30497
16104,29585,0
16105,15625,0
16106,25910,0
16107,7362,0
16108,28459,0
16109,17500,0
16201,,
16202,,
16203,23872,0
16204,19081,51512
16205,10000,0
16206,7338,20375
16207,5500,7500
16301,168800,82226
16302,21282,0
16303,21925,0
16304,9500,0
16305,36300,4180
